Name,Username,Url,Followers,Following,Tweets,Bio,Can_DM,Location,Joined_X,Translator,Likes,BlueTick,DefaultPic,RawScore,TotalScore
False,"Lagos,427,1434,111,94
alao_busay69054,https://x.com/alao_busay69054,56,155,43,89
Preciou94297924,https://x.com/Preciou94297924,140,3026,0,72
SigmaAlpha0,https://x.com/SigmaAlpha0,174,188,5045,100
SirAiyematthew,https://x.com/SirAiyematthew,16,83,14,89
EttaRejoice,https://x.com/EttaRejoice,4299,1338,450,100
titathod5903,https://x.com/titathod5903,278,1427,0,78
nathohsgarage,https://x.com/nathohsgarage,3,24,18,83
OmolayoBolorun1,https://x.com/OmolayoBolorun1,7,52,0,83
he_is_Priest01,https://x.com/he_is_Priest01,1787,1565,7221,8013
,,1787,1565,7221,100
False,King 👑 of vawulence 🌋,2023,1565,7221,100
griffin_na65231,https://x.com/griffin_na65231,120,2997,0,72
de_lexon,https://x.com/de_lexon,471,656,8502,9447
True,my abode,2016,656,8502,100
Ogechukwustacy,https://x.com/Ogechukwustacy,72,238,62,94
GiftedOji419,https://x.com/GiftedOji419,260,1121,108,94
EmmanuelAb12697,https://x.com/EmmanuelAb12697,7,60,43,89
frachino_nicely,https://x.com/frachino_nicely,1797,1904,46345,100
itsnotngozi,https://x.com/itsnotngozi,12,87,40,89
MannyX_01,https://x.com/MannyX_01,390,1192,6840,94
adehtainer,https://x.com/adehtainer,2136,2182,9512,10570
,,2136,2182,9512,100
,,2136,2182,9512,100
,,2136,2182,9512,100
False,Nigeria,2019,2182,9512,100
AdaOjiriver1,https://x.com/AdaOjiriver1,635,583,3763,89
KamaraErin27043,https://x.com/KamaraErin27043,103,3024,0,72
emeh_arinze,https://x.com/emeh_arinze,34,211,72,94
LordmillyK,https://x.com/LordmillyK,749,909,1819,100
iamdeeben,https://x.com/iamdeeben,2466,1973,16795,94
deslilym,https://x.com/deslilym,2235,1271,57978,100
thatweiidboy_,https://x.com/thatweiidboy_,750,1925,1051,100
demilade_julius,https://x.com/demilade_julius,8052,2701,3748,100
UwehVivian64586,https://x.com/UwehVivian64586,174,1979,46,83
avot10,https://x.com/avot10,719,1202,15227,16920
True,,2011,1202,15227,100
Iyke61,https://x.com/Iyke61,80,471,426,94
Davidadegoke76,https://x.com/Davidadegoke76,19,341,40,83
Ope_coded,https://x.com/Ope_coded,66,1349,84,89
veryfriedpath,https://x.com/veryfriedpath,193,169,9530,10590
,,193,169,9530,100
 love❤️, nature🍀,193,169,9530,100
,,193,169,9530,100
,,193,169,9530,100
,,193,169,9530,100
,,193,169,9530,100
,,193,169,9530,100
,,193,169,9530,100
,,193,169,9530,100
False,,2020,169,9530,100
OkekeEmmy95,https://x.com/OkekeEmmy95,35,257,34,89
godstim80281822,https://x.com/godstim80281822,5,56,1,78
Teejani6,https://x.com/Teejani6,34,69,708,787
,,34,69,708,100
,,34,69,708,100
False,"Port Harcourt,34,69,708,100
mary96towne,https://x.com/mary96towne,180,3009,0,78
Mic9911,https://x.com/Mic9911,79,2628,297,89
collins_ke10515,https://x.com/collins_ke10515,0,110,10,94
_iyoosa,https://x.com/_iyoosa,1232,3957,1423,94
Abdulrazak71783,https://x.com/Abdulrazak71783,245,1421,138,94
k9tj25dvV13CBx,https://x.com/k9tj25dvV13CBx,11,577,3,78
jennidan52,https://x.com/jennidan52,715,1230,1422,1580
True,,2022,1230,1422,100
Vickyforchrist,https://x.com/Vickyforchrist,3920,3671,13239,89
jnrkakraba,https://x.com/jnrkakraba,2245,2638,1309,100
divine_seb,https://x.com/divine_seb,2162,2028,6818,100
abuchris_,https://x.com/abuchris_,305,564,7385,100
DollyBob232397,https://x.com/DollyBob232397,0,221,6,83
jephthah4real,https://x.com/jephthah4real,254,1125,2971,94
dacoflex,https://x.com/dacoflex,258,1016,178,94
BelloSherif15,https://x.com/BelloSherif15,17,99,2,83
_cryptolorian,https://x.com/_cryptolorian,1073,861,327,363
False,Mandalore,2023,861,327,100
Udeagbalavalent,https://x.com/Udeagbalavalent,140,659,208,94
TinaJoh45240723,https://x.com/TinaJoh45240723,99,3019,0,78
ParisOferm,https://x.com/ParisOferm,4047,2739,35306,100
Reubencrypto_,https://x.com/Reubencrypto_,6,20,10,0
False,,2023,20,10,94
PELZVATOR,https://x.com/PELZVATOR,573,3050,7620,94
JovitaChimezir1,https://x.com/JovitaChimezir1,1149,1283,1086,100
